x y mesh_s
2.125200460270826042e-01 3.328425465634743952e-01 9.999999999999995559e-01
1.999037253819848092e-01 3.081180367377809870e-01 1.000000000000000000e+00
2.059030072745079432e-01 3.205789440618476704e-01 1.000000000000000000e+00
2.111986498238228593e-01 3.081294299188269137e-01 1.000000000000000000e+00
2.029032934700125967e-01 3.143487565639282999e-01 1.000000000000000444e+00
2.085507509579219709e-01 3.143545114357704229e-01 9.999999999999997780e-01
2.055512690028084288e-01 3.081234156574239602e-01 9.999999999999995559e-01
2.052003221001540423e-01 2.956648353515978767e-01 1.000000000000000000e+00
2.111986498238228593e-01 3.081294299188269137e-01 1.000000000000000000e+00
2.164950236903873115e-01 2.956769094751330318e-01 1.000000000000000000e+00
2.081994174828786792e-01 3.018973712650398489e-01 1.000000000000000444e+00
2.138467311481640765e-01 3.019035965606066685e-01 9.999999999999997780e-01
2.108477653067258595e-01 2.956705192023700302e-01 9.999999999999995559e-01
2.104977869210152563e-01 2.832082103316558852e-01 1.000000000000000000e+00
2.164950236903873115e-01 2.956769094751330318e-01 1.000000000000000000e+00
2.217923558264966177e-01 2.832205867113362086e-01 1.000000000000000000e+00
2.134963452988461186e-01 2.894427564529909458e-01 1.000000000000000444e+00
2.191435542308881879e-01 2.894492756793183852e-01 9.999999999999997780e-01
2.161451784872104043e-01 2.832140022556359216e-01 9.999999999999995559e-01
2.157963437215232594e-01 2.707474142567448672e-01 1.000000000000000000e+00
2.217923558264966177e-01 2.832205867113362086e-01 1.000000000000000000e+00
2.270908486516146352e-01 2.707598535475318480e-01 1.000000000000000000e+00
2.187942970178722302e-01 2.769841667636853688e-01 1.000000000000000444e+00
2.244414533493442332e-01 2.769907705065755565e-01 9.999999999999997780e-01
2.214437213242259894e-01 2.707531815572267186e-01 9.999999999999995559e-01
2.214710903710614409e-01 2.643545749881960893e-01 1.000000000000000000e+00
2.270908486516146352e-01 2.707598535475318480e-01 1.000000000000000000e+00
2.291558459963504712e-01 2.632268583659350680e-01 1.000000000000000000e+00
2.242810575351606994e-01 2.673758073772042332e-01 1.000000000000000444e+00
2.281232599978212094e-01 2.670838302495182615e-01 9.999999999999997780e-01
2.253135021293274365e-01 2.638485185144712197e-01 9.999999999999995559e-01
2.235362180981268487e-01 2.574357757633328747e-01 1.000000000000000000e+00
2.291558459963504712e-01 2.632268583659350680e-01 1.000000000000000000e+00
2.312216340439402218e-01 2.549090004144605737e-01 1.000000000000000000e+00
2.263461139688776880e-01 2.601608018043833903e-01 1.000000000000000444e+00
2.301886520907144573e-01 2.591738749246246809e-01 9.999999999999997780e-01
2.273789356012531349e-01 2.562993139829185529e-01 9.999999999999995559e-01
2.256020659679852935e-01 2.499009950128942004e-01 1.000000000000000000e+00
2.312216340439402218e-01 2.549090004144605737e-01 1.000000000000000000e+00
2.332885646661805035e-01 2.456705738305170750e-01 1.000000000000000000e+00
2.284119622839758112e-01 2.522500172770353322e-01 1.000000000000000444e+00
2.322548843073121427e-01 2.504144572787359024e-01 9.999999999999997780e-01
2.294451942966189983e-01 2.479978868115764179e-01 9.999999999999995559e-01
2.176267962937916411e-01 3.674545147486887875e-01 1.000000000000000000e+00
2.013654187346004820e-01 3.876502608074672285e-01 1.000000000000000000e+00
2.161169450640167133e-01 3.898004578331957792e-01 1.000000000000000000e+00
2.094963785887290486e-01 3.775512946130812897e-01 1.000000000000000444e+00
2.087411865199296779e-01 3.887253279784369520e-01 9.999999999999997780e-01
2.168717672908064831e-01 3.786279502192388957e-01 9.999999999999995559e-01
2.028766464911487821e-01 3.652986833169230008e-01 1.000000000000000000e+00
2.176267962937916411e-01 3.674545147486887875e-01 1.000000000000000000e+00
2.191378816944427321e-01 3.451030998499614588e-01 1.000000000000000000e+00
2.102517681873504740e-01 3.663763849971754527e-01 1.000000000000000444e+00
2.183821332544757521e-01 3.562797054382457751e-01 9.999999999999997780e-01
2.110074475861610233e-01 3.552002032311193380e-01 9.999999999999995559e-01
2.043889591597622957e-01 3.429424280343321141e-01 1.000000000000000000e+00
2.191378816944427321e-01 3.451030998499614588e-01 1.000000000000000000e+00
2.206510089064895042e-01 3.227429540488598869e-01 1.000000000000000000e+00
2.117635108371810071e-01 3.440223746655128867e-01 1.000000000000000444e+00
2.198941410667608898e-01 3.339243008567385762e-01 9.999999999999997780e-01
2.125200460270826042e-01 3.328425465634743952e-01 9.999999999999995559e-01
2.059030072745079432e-01 3.205789440618476704e-01 1.000000000000000000e+00
2.111986498238228593e-01 3.081294299188269137e-01 1.000000000000000000e+00
2.206510089064895042e-01 3.227429540488598869e-01 1.000000000000000000e+00
2.085507509579220820e-01 3.143545114357707004e-01 1.000000000000000444e+00
2.159247189255499300e-01 3.154365744901428958e-01 9.999999999999997780e-01
2.132771406712251350e-01 3.216604077657242433e-01 9.999999999999995559e-01
2.111986498238228593e-01 3.081294299188269137e-01 1.000000000000000000e+00
2.164950236903873115e-01 2.956769094751330318e-01 1.000000000000000000e+00
2.259459397800877289e-01 3.102959742042016300e-01 1.000000000000000000e+00
2.138467311481642430e-01 3.019035965606069460e-01 1.000000000000000444e+00
2.212203878896283338e-01 3.029867326981269815e-01 9.999999999999997780e-01
2.185724577607919827e-01 3.092120511208357736e-01 9.999999999999995559e-01
2.164950236903873115e-01 2.956769094751330318e-01 1.000000000000000000e+00
2.217923558264966177e-01 2.832205867113362086e-01 1.000000000000000000e+00
2.312416646424557687e-01 2.978455893284214229e-01 1.000000000000000000e+00
