x y mesh_f
9.883225405393003538e-02 2.382044310244264829e-01 1.000000000000000444e+00
7.414692833953824558e-02 2.280179640013272335e-01 9.999999999999997780e-01
1.046039959780840078e-01 2.116146130278645232e-01 9.999999999999995559e-01
6.837518605650877435e-02 2.546077830101076134e-01 1.000000000000000000e+00
-8.832557590222737991e-11 3.052884051564614953e-01 1.000000000000000000e+00
7.568144530153012907e-10 2.049999983604937348e-01 1.000000000000000000e+00
3.418759327301652134e-02 2.799480947129835418e-01 1.000000000000000444e+00
3.076606960078297185e-11 2.551442034194272845e-01 9.999999999999997780e-01
3.418759331589656114e-02 2.298038910332146634e-01 9.999999999999995559e-01
1.292893222202433634e-01 2.218010812017438826e-01 1.000000000000000000e+00
1.646446602235250856e-01 2.353553381256023591e-01 1.000000000000000000e+00
1.292893219671954474e-01 2.707106776989428587e-01 1.000000000000000000e+00
1.469669911795450923e-01 2.285782094917583884e-01 1.000000000000000444e+00
1.469669916124075049e-01 2.530330087943749029e-01 9.999999999999997780e-01
1.292893220587724989e-01 2.462558796736191158e-01 9.999999999999995559e-01
1.646446602235250856e-01 2.353553381256023591e-01 1.000000000000000000e+00
2.046085735991412802e-01 2.353553451961261644e-01 1.000000000000000000e+00
1.819123650382167556e-01 2.707106753949833911e-01 1.000000000000000000e+00
1.846266139979021448e-01 2.353553395522943459e-01 1.000000000000000444e+00
1.932604664625053870e-01 2.530330087790019777e-01 9.999999999999997780e-01
1.732785151641758892e-01 2.530330086849400528e-01 9.999999999999995559e-01
1.292893222202433634e-01 2.218010812017438826e-01 1.000000000000000000e+00
6.837518605650877435e-02 2.546077830101076134e-01 1.000000000000000000e+00
1.292893219671954474e-01 2.707106776989428587e-01 1.000000000000000000e+00
9.883225405393003538e-02 2.382044310244264829e-01 1.000000000000000444e+00
9.883225438725087852e-02 2.626592308328559167e-01 9.999999999999997780e-01
1.292893220587724989e-01 2.462558796736191158e-01 9.999999999999995559e-01
6.837518605650877435e-02 2.546077830101076134e-01 1.000000000000000000e+00
-8.832557590222737991e-11 3.052884051564614953e-01 1.000000000000000000e+00
7.776945347240667161e-02 3.298532100341600160e-01 1.000000000000000000e+00
3.418759327301652134e-02 2.799480947129835418e-01 1.000000000000000444e+00
