x y p
1.272511723609388579e+00 2.556252659329816823e-01 1.382371926401219220e+01
1.242432881588075855e+00 2.556218392968646058e-01 -3.677905890526223232e+01
1.266850690658912981e+00 2.684522218612950817e-01 3.906364216222763730e+01
1.257472644756283175e+00 2.556227526104861147e-01 -4.617221633261902269e+00
1.251811683191124347e+00 2.684497463694114905e-01 1.850189985215111577e+01
1.272511723609388579e+00 2.556252659329816823e-01 1.382371926401219220e+01
1.253766781001512731e+00 2.299674480567414359e-01 -5.589071592145194245e+01
1.283845339228725457e+00 2.299717625713743607e-01 -2.163099243468135668e+01
1.263137518225995848e+00 2.427957780375817332e-01 -2.293479669171405888e+01
1.268806253620403668e+00 2.299688389902324326e-01 -3.278728815595442114e+01
1.278176617013131233e+00 2.427984459575633081e-01 -9.451697053223499623e+00
1.259375764093688899e+00 1.531781818007773299e-01 -2.651176439521494785e+02
1.289852157803866639e+00 1.531832613098119134e-01 -1.813202213072926838e+02
1.277276712597508634e+00 1.787482512834801807e-01 -1.251961783447407015e+02
1.274613830157161232e+00 1.531800798896952309e-01 -2.234873220057573917e+02
1.283562547733988701e+00 1.659656624480236320e-01 -1.562847316352588223e+02
1.268324054339344586e+00 1.659632495491074611e-01 -1.976314497952216698e+02
1.259375764093688899e+00 1.531781818007773299e-01 -2.651176439521494785e+02
1.241493133271910798e+00 1.276069552203182023e-01 -3.623863464594454058e+02
1.271967137184314200e+00 1.276107427334297328e-01 -2.867177868066901283e+02
1.250432059047629885e+00 1.403928276737478054e-01 -3.217505254467193936e+02
1.256729842405190478e+00 1.276081768292048335e-01 -3.270116524309823376e+02
1.265669525296118980e+00 1.403943171586659600e-01 -2.818436962367648562e+02
1.187892492256492405e+00 5.102600264869917857e-02 -2.964674916207094384e+02
1.218527771992943043e+00 5.102066147764430099e-02 -3.222748019845730596e+02
1.205750418195030038e+00 7.653210937074671205e-02 -3.561349442097588280e+02
1.203209535524141671e+00 5.102301964369517634e-02 -3.161555438834432152e+02
1.212136545336942817e+00 6.377593693230550198e-02 -3.404571323465938235e+02
1.196818625301311334e+00 6.377975563962638705e-02 -3.276644095027056665e+02
1.170058427780768184e+00 2.551470342120949752e-02 -2.320771007828802510e+02
1.200690871206537169e+00 2.551256820032250447e-02 -2.828159755441779453e+02
1.187892492256492405e+00 5.102600264869917857e-02 -2.964674916207094384e+02
1.185374226414949606e+00 2.551352573189652473e-02 -2.629768975390550736e+02
1.194288616282767723e+00 3.826885680214591606e-02 -2.895946118591833738e+02
1.178972291190322430e+00 3.827092723143921821e-02 -2.631752941426514099e+02
1.152252390393311288e+00 0.000000000000000000e+00 -1.811935331834320095e+02
1.182883017884372556e+00 0.000000000000000000e+00 -2.501691857935307723e+02
1.170058427780768184e+00 2.551470342120949752e-02 -2.320771007828802510e+02
1.167567704138841922e+00 0.000000000000000000e+00 -2.199679194397105846e+02
1.176466974949977429e+00 1.275717174364044033e-02 -2.394551166330543595e+02
1.161151503130492424e+00 1.275760514150364039e-02 -2.045522695039851442e+02
1.206461671653986212e+00 4.099999999999999756e-01 1.195729100601852002e+00
1.177063073282485828e+00 4.099999999999999756e-01 -2.415900816220171876e+01
1.187417484099845488e+00 3.841835087074531585e-01 -9.543674026052299197e+00
1.191762372468236020e+00 4.099999999999999756e-01 -9.086443986277760843e+00
1.182239152672457605e+00 3.970909788270555185e-01 -1.796560946726553354e+01
1.196940207401764988e+00 3.970908144173617149e-01 -4.635109089100026836e+00
1.217299775540815698e+00 3.842286604788687221e-01 8.890064052184495580e+00
1.187417484099845488e+00 3.841835087074531585e-01 -9.543674026052299197e+00
